bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"4.89522339028572,52.31824800913657,5.03905650021708,52.3826498804079",uuuu,85633337,,06bedaedc29fe64265b22405c42e58bf,,f78e004d1cb4fd4b1183fde542ac4143,52.357235,4.962507,1158844281,uuuu,NL,NL,1513269624,52.358957,4.950877,101751893,Oost,101751893,115/884/428/1/1158844281.geojson,borough,85687053,amsgis,,"1108802289,1108945257",NL
"4.81712155011333,52.32141328547759,4.91498424970674,52.36205506359296",uuuu,85633337,,2f96a601db76a6668a8c39f7fecfbf8d,,8781c2257ba50241c836e488ba37f5b0,52.341344,4.874729,1158844283,uuuu,NL,NL,1513269669,52.344802,4.873286,101751893,Zuid,101751893,115/884/428/3/1158844283.geojson,borough,85687053,amsgis,,"1108802281,1108945259",NL
"4.83533106918954,52.35640773545131,4.89507757046463,52.3993768789427",uuuu,85633337,,532b1947d0995664a01ba5393db2fb97,,d4e3dd9fe90ed48b4840677dd6ca26aa,52.379044,4.862890,1158844285,uuuu,NL,NL,1513269804,52.378383,4.861327,101751893,West,101751893,115/884/428/5/1158844285.geojson,borough,85687053,amsgis,,"1108802285,1108945261",NL
"4.75483715531013,52.3269251202789,4.85049248342291,52.40028105590423",uuuu,85633337,,cf489f0d0b3faf1f538bf77c936d5247,,be0dfddbdf99ff589b9192872540cf88,52.366430,4.803308,1158844287,uuuu,NL,NL,1513269827,52.364793,4.805080,101751893,Nieuw-West,101751893,115/884/428/7/1158844287.geojson,borough,85687053,amsgis,,"1108802279,1108945263",NL
"4.9293282066658,52.27817419954609,5.02154319683453,52.3311599486827",uuuu,85633337,,b2696487a5bd718e0a8e23f7789e83de,,ace10f5ada5122b16be7af77d97c10ef,52.306558,4.973244,1158844289,uuuu,NL,NL,1513269834,52.307710,4.971317,101751893,Zuidoost,101751893,115/884/428/9/1158844289.geojson,borough,85687053,amsgis,,"1108802293,1108945273",NL
"13.1866030018162,52.46649580229641,13.34143397251715,52.54942923759426",uuuu,85633111,,afe59022b995c34b87dfce73c398785d,,54d7d87e946f6dd55633e37b92e9fdc5,52.501039,13.270249,1108815535,uuuu,DE,DE,1507246141,52.498320,13.270242,101748799,Charlottenburg-Wilmersdorf,101748799,110/881/553/5/1108815535.geojson,borough,85682499,ssuberlin,,,DE
"13.36827317331647,52.48277049639746,13.49145352040911,52.530972648953",uuuu,85633111,,9fb1a3cde51445ee995e7d640ffee3da,,7226692db6db8e7038986a454162bd62,52.503811,13.428234,1108815537,uuuu,DE,DE,1507246141,52.511565,13.443621,101748799,Friedrichshain-Kreuzberg,101748799,110/881/553/7/1108815537.geojson,borough,85682499,ssuberlin,,,DE
"13.45620788891906,52.46793766910944,13.56770478047506,52.59645730581137",uuuu,85633111,,df4f9b9e5995113f1ab3396e195a0394,,b129e3bb6cd030a79c0c1b075e34ca5c,52.534910,13.509767,1108815539,uuuu,DE,DE,1507246141,52.527931,13.495900,101748799,Lichtenberg,101748799,110/881/553/9/1108815539.geojson,borough,85682499,ssuberlin,,,DE
"13.51672717203592,52.47047541929476,13.65851786012915,52.57450908738485",uuuu,85633111,,98962734df1dd9cbbed115f2663b9c5a,,b00790d4d00e97a71b70e6c76d84bdd8,52.521121,13.578832,1108815541,uuuu,DE,DE,1507246141,52.515826,13.574036,101748799,Marzahn-Hellersdorf,101748799,110/881/554/1/1108815541.geojson,borough,85682499,ssuberlin,,,DE
"13.30153045650981,52.49873536941501,13.42940211587212,52.5677176290265",uuuu,85633111,,c7294130edf8ebb7ecd438f9c906a57c,,5f91d846d1548e4f64a3f7e9de91c596,52.532895,13.365970,1108815545,uuuu,DE,DE,1507246141,52.530427,13.360794,101748799,Mitte,101748799,110/881/554/5/1108815545.geojson,borough,85682499,ssuberlin,,,DE
